iter	Passed	Remaining
0	177	177097
1	179	89721
2	182	60623
3	184	45950
4	186	37143
5	188	31310
6	191	27127
7	192	23879
8	193	21330
9	194	19287
10	195	17614
11	197	16219
12	198	15038
13	199	14034
14	200	13190
15	202	12425
16	203	11749
17	204	11146
18	205	10606
19	206	10120
20	207	9682
21	208	9282
22	209	8916
23	211	8580
24	212	8270
25	213	7996
26	214	7740
27	215	7495
28	217	7266
29	218	7054
30	219	6854
31	220	6667
32	221	6491
33	222	6325
34	223	6169
35	224	6022
36	226	5883
37	227	5754
38	228	5629
39	229	5510
40	230	5395
41	231	5288
42	232	5185
43	234	5088
44	235	4993
45	236	4904
46	237	4816
47	238	4732
48	240	4661
49	241	4584
50	242	4509
51	243	4437
52	244	4369
53	245	4304
54	246	4240
55	247	4179
56	248	4118
57	250	4061
58	251	4009
59	252	3957
60	253	3905
61	254	3855
62	255	3806
63	257	3759
64	258	3713
65	259	3668
66	260	3624
67	260	3576
68	262	3535
69	263	3495
70	264	3461
71	266	3435
72	267	3398
73	268	3362
74	269	3326
75	270	3291
76	271	3257
77	272	3223
78	273	3190
79	274	3159
80	275	3128
81	276	3097
82	277	3068
83	278	3039
84	279	3009
85	280	2982
86	281	2952
87	282	2926
88	283	2900
89	284	2875
90	285	2850
91	286	2826
92	287	2802
93	288	2780
94	289	2757
95	290	2735
96	291	2713
97	292	2692
98	293	2674
99	294	2653
100	295	2633
101	296	2609
102	297	2590
103	298	2571
104	299	2552
105	300	2534
106	301	2516
107	302	2498
108	303	2481
109	304	2464
110	305	2447
111	307	2435
112	308	2419
113	309	2403
114	310	2386
115	310	2369
116	312	2354
117	313	2339
118	313	2323
119	314	2308
120	315	2294
121	316	2280
122	317	2263
123	318	2249
124	319	2235
125	320	2224
126	321	2211
127	322	2196
128	323	2183
129	324	2171
130	325	2159
131	326	2146
132	327	2134
133	328	2122
134	329	2110
135	330	2099
136	331	2088
137	332	2075
138	333	2064
139	334	2055
140	335	2045
141	336	2035
142	337	2024
143	338	2013
144	339	2003
145	340	1993
146	341	1983
147	343	1974
148	344	1964
149	345	1955
150	346	1945
151	347	1936
152	348	1928
153	349	1919
154	350	1910
155	351	1901
156	352	1892
157	353	1883
158	354	1874
159	355	1866
160	356	1857
161	357	1848
162	358	1840
163	359	1832
164	360	1824
165	361	1818
166	362	1810
167	364	1802
168	365	1794
169	366	1787
170	367	1780
171	368	1773
172	369	1766
173	370	1758
174	371	1751
175	372	1743
176	373	1736
177	374	1729
178	376	1724
179	377	1719
180	378	1711
181	379	1706
182	381	1701
183	382	1696
184	384	1691
185	385	1688
186	387	1683
187	389	1680
188	390	1674
189	391	1670
190	393	1665
191	395	1663
192	398	1667
193	400	1663
194	401	1658
195	403	1653
196	404	1648
197	405	1642
198	407	1638
199	408	1635
200	410	1631
201	411	1625
202	412	1619
203	413	1614
204	415	1610
205	416	1605
206	417	1601
207	419	1597
208	420	1592
209	422	1588
210	423	1583
211	424	1578
212	426	1574
213	427	1569
214	428	1564
215	429	1559
216	431	1556
217	432	1552
218	434	1548
219	436	1546
220	437	1542
221	438	1538
222	440	1533
223	441	1528
224	442	1525
225	444	1522
226	445	1518
227	447	1515
228	449	1512
229	450	1509
230	452	1505
231	453	1500
232	454	1497
233	456	1494
234	458	1490
235	459	1488
236	461	1484
237	462	1481
238	464	1477
239	465	1473
240	466	1470
241	468	1466
242	469	1462
243	471	1459
244	472	1456
245	474	1453
246	475	1449
247	476	1445
248	478	1442
249	479	1439
250	480	1435
251	482	1431
252	483	1427
253	485	1425
254	486	1421
255	487	1417
256	489	1414
257	490	1410
258	491	1406
259	493	1404
260	494	1401
261	496	1398
262	497	1394
263	499	1391
264	500	1388
265	501	1384
266	503	1382
267	504	1378
268	505	1374
269	507	1371
270	508	1369
271	510	1366
272	512	1364
273	513	1361
274	515	1359
275	517	1357
276	519	1356
277	520	1352
278	521	1348
279	523	1345
280	524	1341
281	525	1338
282	526	1334
283	527	1330
284	528	1326
285	530	1325
286	532	1323
287	533	1319
288	535	1316
289	536	1313
290	537	1310
291	539	1307
292	540	1305
293	543	1304
294	544	1301
295	545	1298
296	547	1295
297	549	1294
298	550	1291
299	552	1288
300	553	1285
301	555	1283
302	556	1279
